drug_name,num_prescriber,total_cost
HARVONI,1,1942090
HARVONI,1,1148499
ENBREL,1,1006116
NEULASTA,1,613464
VIEKIRA PAK,1,570492
ARALAST NP,1,558311
THALOMID,1,544723
HARVONI,1,478184
SOVALDI,1,388256
HARVONI,1,382113
HARVONI,1,379180
HUMIRA PEN,1,338327
IMBRUVICA,1,334079
ENBREL,1,314161
REVLIMID,1,313444
JAKAFI,1,280872
ZYTIGA,1,279782
HUMIRA PEN,1,265007
TECFIDERA,1,263131
GLASSIA,1,238158
GLEEVEC,1,228193
PROLASTIN C,1,225114
TARCEVA,1,224276
IMBRUVICA,1,214466
GLEEVEC,1,210275
SPIRIVA,1,202323
HUMIRA,1,197674
OFEV,1,194556
REVLIMID,1,193157
PROCRIT,1,188868
PROLASTIN C,1,187776
NOVOLOG FLEXPEN,1,187288
SPIRIVA,1,185896
XELJANZ,1,181247
HUMIRA PEN,1,180188
TRUVADA,1,179787
INVEGA SUSTENNA,1,178796
REVLIMID,1,174871
POMALYST,1,165659
ABILIFY,1,158771
SENSIPAR,1,157280
SYMBICORT,1,154133
ZYTIGA,1,151797
REMICADE,1,150493
OFEV,1,150216
LANTUS SOLOSTAR,1,148092
LEVEMIR FLEXTOUCH,1,144943
RENVELA,1,143318
RENVELA,1,143095
JANUVIA,1,142887
AVONEX,1,141549
SYMBICORT,1,140351
LANTUS SOLOSTAR,1,137219
TRADJENTA,1,136089
RITUXAN,1,136041
REVLIMID,1,135744
SPIRIVA,1,132698
ORENCIA,1,129830
LEVEMIR,1,129180
REVLIMID,1,128480
HETLIOZ,1,127731
XARELTO,1,125587
TARCEVA,1,124677
NEXIUM,1,123501
LANTUS SOLOSTAR,1,123093
ENBREL,1,120513
LUMIGAN,1,119968
NOVOLOG,1,119882
HUMALOG KWIKPEN U-100,1,118069
COPAXONE,1,117595
XYREM,1,117323
LANTUS,1,116837
TASIGNA,1,115945
COPAXONE,1,115936
SPIRIVA,1,115400
OXYCONTIN,1,114072
IMBRUVICA,1,113583
EXJADE,1,113066
STRIBILD,1,111595
REVLIMID,1,109909
CRESTOR,1,109802
HYDROXYCHLOROQUINE SULFATE,1,109198
REVLIMID,1,108752
SYMBICORT,1,108521
XTANDI,1,106993
OXYCONTIN,1,106498
HERCEPTIN,1,106098
AVASTIN,1,105855
TASIGNA,1,104950
GLEEVEC,1,104187
LATUDA,1,104041
ADVAIR DISKUS,1,102842
TRACLEER,1,101662
XARELTO,1,98881
ESBRIET,1,97156
ATRIPLA,1,94942
VICTOZA 3-PAK,1,94358
NAMENDA XR,1,93920
METHOTREXATE,1,93816
LANTUS,1,92841
GLEEVEC,1,92768
CRESTOR,2,92551
LANTUS,1,91612
ATRIPLA,1,90620
LANTUS,1,89723
VIMPAT,1,89321
TIVICAY,1,88517
ELIQUIS,1,88142
OXYCONTIN,1,87930
ADVAIR DISKUS,1,87579
ELIQUIS,1,86928
NAMENDA XR,1,86655
ORENITRAM ER,1,86470
CRESTOR,1,86081
HUMIRA PEN,1,83711
TRUVADA,1,83236
JANUVIA,1,82425
RANEXA,1,81449
COPAXONE,1,80827
ATRIPLA,1,80609
HUMALOG KWIKPEN U-100,1,80599
HUMULIN R U-500,1,80542
SPIRIVA,1,80012
NAMENDA XR,1,79920
NEXIUM,1,79680
ALOXI,1,79171
VIAGRA,1,78817
REBIF,1,77824
ABILIFY,1,76082
CIMZIA,1,75734
INVEGA SUSTENNA,1,75346
LANTUS,1,75154
NOVOLOG,1,74975
TRADJENTA,1,74371
PRADAXA,1,74333
COPAXONE,1,73570
NEULASTA,1,73436
HYDROXYCHLOROQUINE SULFATE,1,73365
NOVOLOG FLEXPEN,1,73104
HUMALOG KWIKPEN U-100,1,73011
HUMALOG,1,72550
REBIF REBIDOSE,1,72001
JANUVIA,1,71949
LATUDA,1,71700
ALIMTA,1,71461
XELJANZ,1,71231
ARIPIPRAZOLE,1,71188
HUMULIN R U-500,1,71044
ATRIPLA,1,70517
LEVEMIR,1,70457
PROLIA,1,69362
VECTIBIX,1,69071
LANTUS SOLOSTAR,1,68999
NOVOLOG FLEXPEN,1,68452
LIDOCAINE,1,68432
SPIRIVA,1,68081
ELIQUIS,1,67989
NEXIUM,1,67684
ADVAIR DISKUS,1,67508
LYRICA,1,67441
EXELON,1,67096
PRADAXA,1,65874
LEVEMIR FLEXTOUCH,1,65361
RENVELA,1,64933
RISPERDAL CONSTA,1,64886
LANTUS SOLOSTAR,1,64445
HUMIRA PEN,1,63978
ARIPIPRAZOLE,1,63900
SENSIPAR,1,62922
LANTUS,1,62655
ADVAIR DISKUS,1,62583
INVEGA SUSTENNA,1,62543
ZETIA,1,62489
BUDESONIDE,1,62486
ALPHAGAN P,1,61757
EPZICOM,1,61535
FORTEO,1,61526
BRILINTA,1,61341
TIKOSYN,1,60979
LUMIGAN,1,60209
ADVAIR DISKUS,1,59468
RENVELA,1,58782
ELIQUIS,1,58711
NAMENDA XR,1,58625
XGEVA,1,58300
